config,date,day_net_$,n_trades_day,direction,entry_time_ET,entry_price,stop_price,exit_time_ET,exit_price,reason,qty_shares,pnl_$
Config A,2026-01-07,-208.0,1,L,09:40,437.3,432.3,09:50,435.32,BE Stop,100,-208.0
Config A,2026-01-13,-104.0,1,S,10:20,447.16,451.66,10:50,448.1,BE Stop,100,-104.0
Config A,2026-01-14,-44.0,1,S,10:40,437.59,442.59,15:50,437.93,EOD,100,-44.0
Config A,2026-01-16,-390.98,2,L,09:35,445.42,440.42,10:10,442.0,BE Stop,100,-352.0
Config A,2026-01-16,-390.98,2,S (Rev),10:15,438.76,443.84,15:50,438.99,Rev EOD,118,-38.98
Config A,2026-01-23,-345.0,1,L,10:50,450.76,445.76,12:40,447.41,BE Stop,100,-345.0
Config A,2026-01-27,-200.0,1,S,09:35,432.51,437.48,10:00,434.41,BE Stop,100,-200.0
Config A,2026-01-28,-283.0,1,L,09:40,437.21,432.21,10:40,434.48,BE Stop,100,-283.0
Config A,2026-02-02,-15.0,1,L,12:20,422.76,417.76,15:50,422.71,EOD,100,-15.0
Config A,2026-02-03,-432.98,2,L,10:35,426.17,421.17,11:20,423.31,BE Stop,100,-296.0
Config A,2026-02-03,-432.98,2,S (Rev),12:30,419.89,425.19,15:50,421.0,Rev EOD,113,-136.98
Config A,2026-02-05,-692.84,2,L,09:35,399.97,394.97,09:55,396.41,BE Stop,100,-366.0
Config A,2026-02-05,-692.84,2,S (Rev),10:05,390.95,398.55,11:25,394.99,Rev BE Stop,79,-326.84
Config A,2026-02-11,-124.0,1,S,10:05,426.41,431.41,15:50,427.55,EOD,100,-124.0
Config A,2026-02-13,-133.0,1,L,11:35,418.99,413.99,15:50,417.76,EOD,100,-133.0
Config A,2026-02-17,-510.0,1,S,09:50,403.86,408.86,11:15,408.86,Base SL,100,-510.0
Config A,2026-02-18,-224.0,1,L,10:00,415.41,410.41,10:30,413.27,BE Stop,100,-224.0
Config A,2026-02-26,-98.0,1,S,10:15,407.84,412.84,15:50,408.72,EOD,100,-98.0
Config A,2026-02-27,-27.96,2,L,09:35,405.17,400.93,09:40,405.14,BE Stop,100,-13.0
Config A,2026-02-27,-27.96,2,S (Rev),12:15,400.48,404.49,15:50,400.48,Rev BE Stop,150,-14.96
Config A,2026-03-05,-574.58,2,L,09:50,406.31,401.31,10:30,403.67,BE Stop,100,-274.0
Config A,2026-03-05,-574.58,2,S (Rev),13:25,399.73,404.88,15:10,402.21,Rev BE Stop,117,-300.58
Config A,2026-03-10,-92.0,1,S,14:10,398.38,403.38,15:50,399.2,EOD,100,-92.0
Config A,2026-03-11,-303.0,1,L,09:50,410.59,405.59,13:35,407.66,BE Stop,100,-303.0
Config A,2026-03-16,-382.0,1,L,09:55,401.04,396.04,12:20,397.32,BE Stop,100,-382.0
Config A,2026-03-19,-392.0,1,S,14:45,378.98,383.98,15:05,382.8,BE Stop,100,-392.0
Config A,2026-03-24,-87.0,1,L,09:35,384.46,379.46,15:50,383.69,EOD,100,-87.0
Config A,2026-03-26,-80.0,2,S,09:35,380.86,383.38,09:40,380.92,BE Stop,100,-16.0
Config A,2026-03-26,-80.0,2,L (Rev),09:50,383.54,381.34,10:05,383.32,Rev BE Stop,200,-64.0
Config A,2026-03-27,-264.0,1,S,09:35,364.72,369.72,11:30,367.26,BE Stop,100,-264.0
Config A,2026-03-30,-256.0,1,S,10:35,362.51,367.27,11:05,364.97,BE Stop,100,-256.0
Config A,2026-03-31,-202.0,1,L,09:50,365.29,361.0,10:05,363.37,BE Stop,100,-202.0
Config A,2026-04-09,-416.76,2,L,09:40,344.79,342.04,09:45,344.81,BE Trail,100,-8.0
Config A,2026-04-09,-416.76,2,S (Rev),09:50,339.01,344.03,11:10,342.33,Rev BE Stop,120,-408.76
Config A,2026-04-10,-369.0,1,S,11:40,344.13,349.13,15:50,347.72,BE Stop,100,-369.0
Config A,2026-04-16,-330.0,1,S,09:35,386.14,391.14,15:50,389.34,EOD,100,-330.0
Config A,2026-04-21,-147.0,1,S,11:00,388.62,393.34,11:10,389.99,BE Stop,100,-147.0
Config A,2026-04-22,-290.0,1,L,09:40,390.56,385.56,15:50,387.76,BE Stop,100,-290.0
Config A,2026-04-24,-510.0,1,L,09:35,380.16,375.16,09:55,375.16,Base SL,100,-510.0
Config A,2026-04-28,-218.0,1,L,10:00,379.78,374.78,10:35,377.7,BE Stop,100,-218.0
Config A,2026-04-29,-52.0,1,S,09:35,373.0,376.4,09:45,373.42,BE Stop,100,-52.0
Config A,2026-05-04,-352.86,2,L,09:40,392.93,387.93,10:05,393.11,BE Trail,100,8.0
Config A,2026-05-04,-352.86,2,S (Rev),11:20,386.73,392.3,13:00,389.98,Rev BE Stop,108,-360.86
Config A,2026-05-05,-239.31,2,L,09:40,401.2,396.2,09:50,397.69,BE Stop,100,-361.0
Config A,2026-05-05,-239.31,2,S (Rev),10:35,392.61,400.4,15:50,390.93,Rev EOD,77,121.69
Config A,2026-05-07,-310.58,2,L,09:55,413.49,408.49,10:15,411.37,BE Stop,100,-222.0
Config A,2026-05-07,-310.58,2,S (Rev),12:00,406.72,412.41,15:50,407.46,Rev EOD,105,-88.58
Config A,2026-05-14,-251.81,2,S,09:50,442.84,447.0,10:00,442.7,BE Trail,100,4.0
Config A,2026-05-14,-251.81,2,L (Rev),11:15,447.1,443.23,13:15,445.55,Rev BE Stop,155,-255.81
Config A,2026-05-22,-601.51,2,S,09:40,421.65,426.65,10:20,424.85,BE Stop,100,-330.0
Config A,2026-05-22,-601.51,2,L (Rev),10:30,427.9,422.53,15:45,425.57,Rev BE Stop,112,-271.51
Config A,2026-05-26,-335.09,2,S,09:35,428.89,433.67,09:50,429.7,BE Stop,100,-91.0
Config A,2026-05-26,-335.09,2,L (Rev),11:15,433.81,430.0,11:35,432.36,Rev BE Stop,157,-244.09
Config A,2026-05-27,-264.32,2,S,09:40,439.4,444.4,10:40,441.72,BE Stop,100,-242.0
Config A,2026-05-27,-264.32,2,L (Rev),10:50,445.37,440.8,10:55,445.3,Rev BE Stop,131,-22.32
Config A,2026-06-12,-517.99,2,S,09:55,394.48,399.48,11:20,399.48,Base SL,100,-510.0
Config A,2026-06-12,-517.99,2,L (Rev),13:05,404.09,396.58,13:10,404.09,Rev BE Stop,80,-7.99
Config A,2026-06-15,-343.0,1,S,09:35,408.85,413.85,09:45,412.18,BE Stop,100,-343.0
Config A,2026-06-17,-256.26,2,S,09:55,398.55,403.53,10:15,400.9,BE Stop,100,-245.0
Config A,2026-06-17,-256.26,2,L (Rev),12:20,404.77,399.44,14:00,404.77,Rev BE Stop,113,-11.26
Config A,2026-06-18,-283.63,2,S,09:35,390.61,395.61,13:30,395.18,BE Stop,100,-467.0
Config A,2026-06-18,-283.63,2,L (Rev),15:45,399.62,391.44,15:50,402.22,Rev EOD,73,183.37
Config A,2026-06-24,-74.37,2,L,09:35,384.09,379.09,10:00,381.4,BE Stop,100,-279.0
Config A,2026-06-24,-74.37,2,S (Rev),12:40,378.52,383.27,15:50,376.8,Rev EOD,126,204.63
Config A,2026-06-25,-355.0,1,S,09:55,371.66,376.66,10:05,375.11,BE Stop,100,-355.0
Config A,2026-07-09,-419.0,1,L,10:00,398.01,393.01,10:15,393.92,BE Stop,100,-419.0
