config,date,day_net_$,primary_net_$,reversal_net_$,direction,entry_time_ET,entry_price,stop_price,exit_time_ET,exit_price,reason,qty_shares,pnl_$
Config A,2026-03-18,609.79,-245.0,854.79,L,09:45,402.31,398.06,10:20,399.96,BE Stop,100,-245.0
Config A,2026-03-18,609.79,-245.0,854.79,S (Rev),10:25,397.87,401.52,15:50,392.57,Rev EOD,164,854.79
Config A,2026-04-01,139.82,-145.0,284.82,S,09:45,374.65,379.14,10:10,376.0,BE Stop,100,-145.0
Config A,2026-04-01,139.82,-145.0,284.82,L (Rev),10:35,379.27,375.12,15:50,381.34,Rev EOD,145,284.82
Config A,2026-04-02,50.38,-284.0,334.38,L,10:10,368.34,363.66,10:50,365.6,BE Stop,100,-284.0
Config A,2026-04-02,50.38,-284.0,334.38,S (Rev),13:35,363.05,367.5,15:50,360.47,Rev EOD,135,334.38
Config A,2026-04-27,396.5,-351.0,747.5,S,09:55,365.7,370.7,12:05,369.11,BE Stop,100,-351.0
Config A,2026-04-27,396.5,-351.0,747.5,L (Rev),12:30,372.46,367.05,15:50,379.3,Rev EOD,111,747.5
Config A,2026-04-30,971.66,-18.0,989.66,S,09:35,369.4,373.0,09:40,369.48,BE Stop,100,-18.0
Config A,2026-04-30,971.66,-18.0,989.66,L (Rev),10:45,374.29,369.84,15:50,381.73,Rev EOD,135,989.66
Config A,2026-05-11,1611.68,-271.0,1882.68,S,09:35,420.09,425.09,11:00,422.7,BE Stop,100,-271.0
Config A,2026-05-11,1611.68,-271.0,1882.68,L (Rev),11:05,426.61,421.53,15:50,442.65,Rev EOD,118,1882.68
Config A,2026-05-13,328.32,-259.0,587.32,S,09:40,434.69,439.69,10:10,437.18,BE Stop,100,-259.0
Config A,2026-05-13,328.32,-259.0,587.32,L (Rev),10:20,439.98,435.25,15:50,444.71,Rev EOD,127,587.32
Config A,2026-06-10,1297.97,-58.0,1355.97,L,09:35,396.08,391.11,09:50,395.6,BE Stop,100,-58.0
Config A,2026-06-10,1297.97,-58.0,1355.97,S (Rev),10:05,390.8,394.57,15:50,382.18,Rev EOD,159,1355.97
Config A,2026-07-06,1394.08,-14.0,1408.08,S,09:35,392.56,397.56,09:40,392.6,BE Stop,100,-14.0
Config A,2026-07-06,1394.08,-14.0,1408.08,L (Rev),09:45,401.36,394.18,15:50,418.31,Rev EOD,84,1408.08
